local_id: 129 || global_id: 129 || residential_pe: 0
local_id: 130 || global_id: 130 || residential_pe: 0
local_id: 131 || global_id: 131 || residential_pe: 0
local_id: 132 || global_id: 132 || residential_pe: 0
local_id: 133 || global_id: 133 || residential_pe: 0
local_id: 134 || global_id: 134 || residential_pe: 0
local_id: 135 || global_id: 135 || residential_pe: 0
local_id: 136 || global_id: 136 || residential_pe: 0
local_id: 137 || global_id: 137 || residential_pe: 0
local_id: 138 || global_id: 138 || residential_pe: 0
local_id: 139 || global_id: 139 || residential_pe: 0
local_id: 140 || global_id: 140 || residential_pe: 0
local_id: 141 || global_id: 141 || residential_pe: 0
local_id: 142 || global_id: 142 || residential_pe: 0
local_id: 143 || global_id: 143 || residential_pe: 0
local_id: 144 || global_id: 144 || residential_pe: 0
local_id: 145 || global_id: 145 || residential_pe: 0
local_id: 146 || global_id: 146 || residential_pe: 0
local_id: 147 || global_id: 147 || residential_pe: 0
local_id: 148 || global_id: 148 || residential_pe: 0
local_id: 149 || global_id: 149 || residential_pe: 0
local_id: 150 || global_id: 150 || residential_pe: 0
local_id: 151 || global_id: 151 || residential_pe: 0
local_id: 152 || global_id: 152 || residential_pe: 0
local_id: 153 || global_id: 153 || residential_pe: 0
local_id: 154 || global_id: 154 || residential_pe: 0
local_id: 155 || global_id: 155 || residential_pe: 0
local_id: 156 || global_id: 156 || residential_pe: 0
local_id: 157 || global_id: 157 || residential_pe: 0
local_id: 158 || global_id: 158 || residential_pe: 0
local_id: 159 || global_id: 159 || residential_pe: 0
local_id: 160 || global_id: 160 || residential_pe: 0
local_id: 161 || global_id: 161 || residential_pe: 0
local_id: 162 || global_id: 162 || residential_pe: 0
local_id: 163 || global_id: 163 || residential_pe: 0
local_id: 164 || global_id: 164 || residential_pe: 0
local_id: 165 || global_id: 165 || residential_pe: 0
local_id: 166 || global_id: 166 || residential_pe: 0
local_id: 167 || global_id: 167 || residential_pe: 0
local_id: 168 || global_id: 168 || residential_pe: 0
local_id: 169 || global_id: 169 || residential_pe: 0
local_id: 170 || global_id: 170 || residential_pe: 0
local_id: 171 || global_id: 171 || residential_pe: 0
local_id: 172 || global_id: 172 || residential_pe: 0
local_id: 173 || global_id: 173 || residential_pe: 0
local_id: 174 || global_id: 174 || residential_pe: 0
local_id: 175 || global_id: 175 || residential_pe: 0
local_id: 176 || global_id: 176 || residential_pe: 0
local_id: 177 || global_id: 177 || residential_pe: 0
local_id: 178 || global_id: 178 || residential_pe: 0
local_id: 179 || global_id: 179 || residential_pe: 0
local_id: 180 || global_id: 180 || residential_pe: 0
local_id: 181 || global_id: 181 || residential_pe: 0
local_id: 182 || global_id: 182 || residential_pe: 0
local_id: 183 || global_id: 183 || residential_pe: 0
local_id: 184 || global_id: 184 || residential_pe: 0
local_id: 185 || global_id: 185 || residential_pe: 0
local_id: 186 || global_id: 186 || residential_pe: 0
local_id: 187 || global_id: 187 || residential_pe: 0
local_id: 188 || global_id: 188 || residential_pe: 0
local_id: 189 || global_id: 189 || residential_pe: 0
local_id: 190 || global_id: 190 || residential_pe: 0
local_id: 191 || global_id: 191 || residential_pe: 0
local_id: 192 || global_id: 192 || residential_pe: 0
local_id: 193 || global_id: 193 || residential_pe: 0
local_id: 194 || global_id: 194 || residential_pe: 0
local_id: 195 || global_id: 195 || residential_pe: 0
local_id: 196 || global_id: 196 || residential_pe: 0
local_id: 197 || global_id: 197 || residential_pe: 0
local_id: 198 || global_id: 198 || residential_pe: 0
local_id: 199 || global_id: 199 || residential_pe: 0
local_id: 200 || global_id: 200 || residential_pe: 0
local_id: 201 || global_id: 201 || residential_pe: 0
local_id: 202 || global_id: 202 || residential_pe: 0
local_id: 203 || global_id: 203 || residential_pe: 0
local_id: 204 || global_id: 204 || residential_pe: 0
local_id: 205 || global_id: 205 || residential_pe: 0
local_id: 206 || global_id: 206 || residential_pe: 0
local_id: 207 || global_id: 207 || residential_pe: 0
local_id: 208 || global_id: 208 || residential_pe: 0
local_id: 209 || global_id: 209 || residential_pe: 0
local_id: 210 || global_id: 210 || residential_pe: 0
local_id: 211 || global_id: 211 || residential_pe: 0
local_id: 212 || global_id: 212 || residential_pe: 0
local_id: 213 || global_id: 213 || residential_pe: 0
local_id: 214 || global_id: 214 || residential_pe: 0
local_id: 215 || global_id: 215 || residential_pe: 0
local_id: 216 || global_id: 216 || residential_pe: 0
local_id: 217 || global_id: 217 || residential_pe: 0
